mth,net_bal_amt
2016-09,3.22E+11
2016-10,3.24E+11
2016-11,3.26E+11
2016-12,3.29E+11
2017-01,3.32E+11
2017-02,3.35E+11
2017-03,3.38E+11
2017-04,3.41E+11
2017-05,3.43E+11
2017-06,3.46E+11
2017-07,3.48E+11
2017-08,3.51E+11
2017-09,3.53E+11
2017-10,3.55E+11
2017-11,3.57E+11
2017-12,3.60E+11
2018-01,3.63E+11
2018-02,3.65E+11
2018-03,3.68E+11
2018-04,3.72E+11
2018-05,3.74E+11
2018-06,3.77E+11
2018-07,3.79E+11
2018-08,3.82E+11
2018-09,3.84E+11
2018-10,3.86E+11
2018-11,3.88E+11
2018-12,3.91E+11
2019-01,3.95E+11
