quarter,level_1,level_2,level_3,value
2000-Q2,Total Services Sector,Wholesale & Retail Trade,Retail Trade,-9
2000-Q2,Total Services Sector,Accommodation & Food Services,Accommodation,36
2000-Q2,Total Services Sector,Accommodation & Food Services,Food & Beverage Services,50
2000-Q2,Total Services Sector,Financial & Insurance,Banks & Finance Companies,60
2000-Q2,Total Services Sector,Financial & Insurance,Security Dealing Activities,-36
2000-Q2,Total Services Sector,Financial & Insurance,Fund Management,na
2000-Q2,Total Services Sector,Financial & Insurance,Insurance Companies,75
2000-Q2,Total Services Sector,Financial & Insurance,Other Financial Services,-20
2000-Q3,Total Services Sector,Wholesale & Retail Trade,Wholesale Trade,23
2000-Q3,Total Services Sector,Wholesale & Retail Trade,Retail Trade,22
2000-Q3,Total Services Sector,Accommodation & Food Services,Accommodation,78
2000-Q3,Total Services Sector,Accommodation & Food Services,Food & Beverage Services,62
2000-Q3,Total Services Sector,Financial & Insurance,Banks & Finance Companies,63
2000-Q3,Total Services Sector,Financial & Insurance,Security Dealing Activities,-32
2000-Q3,Total Services Sector,Financial & Insurance,Fund Management,na
2000-Q3,Total Services Sector,Financial & Insurance,Insurance Companies,89
2000-Q3,Total Services Sector,Financial & Insurance,Other Financial Services,-33
2000-Q4,Total Services Sector,Wholesale & Retail Trade,Wholesale Trade,-1
2000-Q4,Total Services Sector,Wholesale & Retail Trade,Retail Trade,-12
2000-Q4,Total Services Sector,Accommodation & Food Services,Accommodation,14
2000-Q4,Total Services Sector,Accommodation & Food Services,Food & Beverage Services,36
2000-Q4,Total Services Sector,Financial & Insurance,Banks & Finance Companies,27
2000-Q4,Total Services Sector,Financial & Insurance,Security Dealing Activities,-46
2000-Q4,Total Services Sector,Financial & Insurance,Fund Management,na
2000-Q4,Total Services Sector,Financial & Insurance,Insurance Companies,54
2000-Q4,Total Services Sector,Financial & Insurance,Other Financial Services,-36
2001-Q1,Total Services Sector,Wholesale & Retail Trade,Wholesale Trade,-6
2001-Q1,Total Services Sector,Wholesale & Retail Trade,Retail Trade,-46
2001-Q1,Total Services Sector,Accommodation & Food Services,Accommodation,15
2001-Q1,Total Services Sector,Accommodation & Food Services,Food & Beverage Services,-8
2001-Q1,Total Services Sector,Financial & Insurance,Banks & Finance Companies,-12
2001-Q1,Total Services Sector,Financial & Insurance,Security Dealing Activities,-71
2001-Q1,Total Services Sector,Financial & Insurance,Fund Management,na
2001-Q1,Total Services Sector,Financial & Insurance,Insurance Companies,71
2001-Q1,Total Services Sector,Financial & Insurance,Other Financial Services,68
2001-Q2,Total Services Sector,Wholesale & Retail Trade,Wholesale Trade,-19
2001-Q2,Total Services Sector,Wholesale & Retail Trade,Retail Trade,-29
2001-Q2,Total Services Sector,Accommodation & Food Services,Accommodation,43
2001-Q2,Total Services Sector,Accommodation & Food Services,Food & Beverage Services,14
2001-Q2,Total Services Sector,Financial & Insurance,Banks & Finance Companies,-17
2001-Q2,Total Services Sector,Financial & Insurance,Security Dealing Activities,-50
2001-Q2,Total Services Sector,Financial & Insurance,Fund Management,na
2001-Q2,Total Services Sector,Financial & Insurance,Insurance Companies,32
2001-Q2,Total Services Sector,Financial & Insurance,Other Financial Services,1
2001-Q3,Total Services Sector,Wholesale & Retail Trade,Wholesale Trade,-44
2001-Q3,Total Services Sector,Wholesale & Retail Trade,Retail Trade,-47
2001-Q3,Total Services Sector,Accommodation & Food Services,Accommodation,1
2001-Q3,Total Services Sector,Accommodation & Food Services,Food & Beverage Services,7
2001-Q3,Total Services Sector,Financial & Insurance,Banks & Finance Companies,-67
2001-Q3,Total Services Sector,Financial & Insurance,Security Dealing Activities,-56
2001-Q3,Total Services Sector,Financial & Insurance,Fund Management,na
2001-Q3,Total Services Sector,Financial & Insurance,Insurance Companies,-33
2001-Q3,Total Services Sector,Financial & Insurance,Other Financial Services,-31
2001-Q4,Total Services Sector,Wholesale & Retail Trade,Wholesale Trade,-25
2001-Q4,Total Services Sector,Wholesale & Retail Trade,Retail Trade,-50
2001-Q4,Total Services Sector,Accommodation & Food Services,Accommodation,-10
